subject_code,target_i,target_j,template_i,template_j,di,dj,C0_x,C0_y,Cmid_x,Cmid_y,C20_x,C20_y,ray_count,shifted_curve,geometry_npz,debug_png,centers_txt
1,166,277,166,266,0,11,125,66,277,166,125,265,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_1.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/1/rotation_geometry_1.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/1/rotation_debug_1.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/1/rotation_centers_1.txt
3,159,297,166,266,-7,31,145,59,297,159,145,258,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_3.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/3/rotation_geometry_3.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/3/rotation_debug_3.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/3/rotation_centers_3.txt
4,160,233,166,266,-6,-33,81,60,233,160,81,259,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_4.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/4/rotation_geometry_4.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/4/rotation_debug_4.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/4/rotation_centers_4.txt
7,149,238,166,266,-17,-28,86,49,238,149,86,248,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_7.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/7/rotation_geometry_7.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/7/rotation_debug_7.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/7/rotation_centers_7.txt
9,161,246,166,266,-5,-20,94,61,246,161,94,260,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_9.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/9/rotation_geometry_9.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/9/rotation_debug_9.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/9/rotation_centers_9.txt
10,165,213,166,266,-1,-53,61,65,213,165,61,264,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_10.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/10/rotation_geometry_10.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/10/rotation_debug_10.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/10/rotation_centers_10.txt
19,159,234,166,266,-7,-32,82,59,234,159,82,258,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_19.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/19/rotation_geometry_19.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/19/rotation_debug_19.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/19/rotation_centers_19.txt
23,157,240,166,266,-9,-26,88,57,240,157,88,256,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_23.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/23/rotation_geometry_23.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/23/rotation_debug_23.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/23/rotation_centers_23.txt
26,163,210,166,266,-3,-56,58,63,210,163,58,262,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_26.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/26/rotation_geometry_26.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/26/rotation_debug_26.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/26/rotation_centers_26.txt
27,164,225,166,266,-2,-41,73,64,225,164,73,263,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_27.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/27/rotation_geometry_27.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/27/rotation_debug_27.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/27/rotation_centers_27.txt
33,167,264,166,266,1,-2,112,67,264,167,112,266,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_33.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/33/rotation_geometry_33.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/33/rotation_debug_33.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/33/rotation_centers_33.txt
35,166,236,166,266,0,-30,84,66,236,166,84,265,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_35.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/35/rotation_geometry_35.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/35/rotation_debug_35.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/35/rotation_centers_35.txt
38,159,247,166,266,-7,-19,95,59,247,159,95,258,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_38.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/38/rotation_geometry_38.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/38/rotation_debug_38.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/38/rotation_centers_38.txt
